Id;Model;Created At;Updated At;Autocomplete Info;Visible;Copied At;Wireless Setting;Delta
10080;Temporis 22;2017-06-15 10:29:58 +0200;2017-06-15 16:39:49 +0200;Alcatel-Lucent Temporis 22;TRUE;2017-06-15 10:29:58 +0200;B - 3.5;TRUE
10079;Vibe P1;2017-06-09 20:14:31 +0200;2017-06-09 20:14:31 +0200;Lenovo Vibe P1;TRUE;;;TRUE
10078;Moto Z Play;2017-06-09 20:08:43 +0200;2017-06-09 20:08:43 +0200;Lenovo Moto Z Play;TRUE;;;TRUE
10077;GXP 1782;2017-06-09 12:22:31 +0200;2017-06-09 12:22:39 +0200;Grandstream Networks GXP 1782;TRUE;2017-06-09 12:22:31 +0200;A - 3.5 ;TRUE
10076;GXP 1780;2017-06-09 12:21:47 +0200;2017-06-09 12:22:11 +0200;Grandstream Networks GXP 1780;TRUE;2017-06-09 12:21:47 +0200;A - 3.5 ;TRUE
10075;GXP 1628;2017-06-09 12:19:51 +0200;2017-06-09 12:27:26 +0200;Grandstream Networks GXP 1628;TRUE;2017-06-09 12:19:51 +0200;A - 3.5 ;TRUE
10074;1620;2017-06-09 12:19:11 +0200;2017-06-09 12:19:28 +0200;Grandstream Networks 1620;TRUE;2017-06-09 12:19:11 +0200;A - 3.5;TRUE
10073;GXP1615;2017-06-09 12:18:30 +0200;2017-06-09 12:18:42 +0200;Grandstream Networks GXP1615;TRUE;2017-06-09 12:18:30 +0200;A - 3.5;TRUE
10072;SoundStation IP 7000;2017-06-09 10:48:52 +0200;2017-06-09 10:50:01 +0200;Polycom SoundStation IP 7000;TRUE;2017-06-09 10:48:52 +0200;;TRUE
10071; XL 280;2017-06-08 13:47:30 +0200;2017-06-08 13:47:54 +0200;Alcatel-Home  XL 280;TRUE;2017-06-08 13:47:30 +0200;;TRUE
10070;F330;2017-06-08 11:55:40 +0200;2017-06-08 11:55:40 +0200;Alcatel-Home F330;TRUE;;;TRUE
10069;SIP-T46S;2017-06-08 09:20:28 +0200;2017-06-08 09:26:35 +0200;Yealink SIP-T46S;TRUE;2017-06-08 09:20:28 +0200;A - 3.5;TRUE
10068;S850A;2017-06-07 16:59:09 +0200;2017-06-07 17:00:42 +0200;Gigaset S850A;TRUE;;;TRUE
10067;Aspire 22;2017-06-07 16:12:20 +0200;2017-06-07 16:12:36 +0200;NEC America Aspire 22;TRUE;2017-06-07 16:12:20 +0200;A - 3.5;TRUE
10066;IP 5622-SD;2017-06-06 19:58:18 +0200;2017-06-06 19:58:18 +0200;Toshiba Telecommunications IP 5622-SD;TRUE;;A - 6;TRUE
10065;DKT 3020-SD;2017-06-06 19:06:49 +0200;2017-06-06 19:07:19 +0200;Toshiba Telecommunications DKT 3020-SD;TRUE;;A - 3.5 ;TRUE
10064;Maxwell Basic;2017-05-30 19:34:11 +0200;2017-05-30 19:34:11 +0200;Gigaset Maxwell Basic;TRUE;;A - 3.5 ;TRUE
10063;ITZ-12D-3 ;2017-05-29 16:39:07 +0200;2017-05-29 16:39:38 +0200;NEC Enterprise (incl. Philips, Nitsuko, Infrontia) ITZ-12D-3 ;TRUE;2017-05-29 16:39:07 +0200;A - 3.5;TRUE
10062;D43;2017-05-16 21:49:01 +0200;2017-05-16 21:49:01 +0200;Ascom D43;TRUE;;;TRUE
10061;PIVOT SC 8744;2017-05-16 20:49:19 +0200;2017-05-16 20:49:19 +0200;Spectralink PIVOT SC 8744;TRUE;;;TRUE
10060;KX-UDT111;2017-05-16 08:10:12 +0200;2017-05-16 08:10:20 +0200;Panasonic KX-UDT111;TRUE;;;TRUE
10059;Voice Operator Panel;2017-05-08 09:10:15 +0200;2017-05-08 09:13:50 +0200;Joher Voice Operator Panel;TRUE;2017-05-08 09:10:15 +0200;;TRUE
10058;LS6245;2017-05-04 13:27:44 +0200;2017-05-04 13:27:44 +0200;Vtech LS6245;TRUE;;;TRUE
10057;W56P;2017-05-03 10:27:02 +0200;2017-05-03 10:27:02 +0200;Yealink W56P;TRUE;;;TRUE
10056;Euroset 5035;2017-04-28 13:19:20 +0200;2017-04-28 13:19:37 +0200;Unify  Euroset 5035;TRUE;2017-04-28 13:19:20 +0200;A - 3.5;TRUE
10055;105;2017-04-26 10:02:58 +0200;2017-04-26 10:04:28 +0200;Nokia 105;TRUE;2017-04-26 10:02:58 +0200;;TRUE
10054;SoundStation Duo;2017-04-20 20:24:17 +0200;2017-05-01 19:30:53 +0200;Polycom SoundStation Duo;FALSE;;;TRUE
10053;Forum IPhone 5010;2017-04-13 13:34:22 +0200;2017-04-13 13:36:03 +0200;Belgacom Forum IPhone 5010;TRUE;2017-04-13 13:34:22 +0200;A - 3.5;TRUE
10052;IDS300;2017-04-13 13:15:03 +0200;2017-04-13 13:17:31 +0200;Belgacom IDS300;TRUE;2017-04-13 13:15:03 +0200;A - 3.5;TRUE
10051;DA810A;2017-04-11 08:56:50 +0200;2017-04-11 08:57:14 +0200;Gigaset DA810A;TRUE;;;TRUE
10050;M3904;2017-04-06 16:22:33 +0200;2017-04-06 16:25:14 +0200;Nortel Networks M3904;TRUE;2017-04-06 16:22:33 +0200;A - 3.5;TRUE
10049;Comfort 3005;2017-04-04 12:20:07 +0200;2017-04-04 12:41:59 +0200;DORO Comfort 3005;TRUE;2017-04-04 12:20:07 +0200;A - 3.5;TRUE
10048;Honor 5x;2017-03-29 16:47:46 +0200;2017-03-29 16:48:00 +0200;Huawei Honor 5x;TRUE;2017-03-29 16:47:46 +0200;;TRUE
10047;CL2940;2017-03-24 15:34:43 +0100;2017-03-24 15:38:45 +0100;AT&T CL2940;TRUE;2017-03-24 15:34:43 +0100;A - 3.5;TRUE
10046;Premium 300;2017-03-24 08:44:37 +0100;2017-03-24 09:00:26 +0100;Depaepe Premium 300;TRUE;2017-03-24 08:44:37 +0100;;TRUE
10045;KX-TS881;2017-03-23 16:53:15 +0100;2017-03-23 16:56:29 +0100;Panasonic KX-TS881;TRUE;2017-03-23 16:53:15 +0100;;TRUE
10044;VVX D60;2017-03-23 13:20:46 +0100;2017-03-23 13:24:45 +0100;Polycom VVX D60;TRUE;2017-03-23 13:20:46 +0100;;TRUE
10043;A30;2017-03-15 16:08:07 +0100;2017-04-18 09:20:03 +0200;Adept Telecom A30;TRUE;2017-03-15 16:08:07 +0100;C - 3.5;TRUE
10042;S850;2017-03-14 14:10:59 +0100;2017-03-14 14:11:16 +0100;Gigaset S850;TRUE;2017-03-14 14:10:59 +0100;;TRUE
10041;Fritz Fon 7150;2017-03-13 09:36:10 +0100;2017-03-13 09:39:13 +0100;AVM Fritz Fon 7150;TRUE;2017-03-13 09:36:10 +0100;;TRUE
10040;ZXV10 P802L ;2017-03-13 09:30:00 +0100;2017-03-13 09:30:00 +0100;ZTE ZXV10 P802L ;TRUE;;3.5 - A;TRUE
10039;IP63;2017-03-10 15:42:41 +0100;2017-03-10 15:44:55 +0100;Innovaphone IP63;TRUE;2017-03-10 15:42:41 +0100;A - 3,5;TRUE
10038;Sinus PA 205;2017-03-10 15:24:14 +0100;2017-03-10 15:24:30 +0100;Telekom Sinus PA 205;TRUE;2017-03-10 15:24:14 +0100;;TRUE
